tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0103956|movie|Child's Play 3|1991|90|Horror,Thriller|eight year since event second film see andy teenager enrolled military school play pal toy company decides release good guy line feeling time bad publicity died used old material spirit charles lee ray come life|8/30/91|chucky new playmate|5.1|42322
tt0104257|movie|A Few Good Men|1992|138|Drama,Thriller|cocky military lawyer lt daniel kaffee co counsel lt cmdr joanne galloway assigned murder case uncover hazing ritual could implicate high ranking official shady col nathan jessep|12/11/92||7.7|265149
tt0104321|movie|Gas Food Lodging|1992|101|Drama,Romance|boring desert new mexico single mother raise two teenage daughter shade trudi whose deepest desire leave dead calm town shade type escape extravagant fantasy trudi rebelious could drive away|7/10/92|shade good good trudi bad better|6.6|4164
tt0104503|movie|In the Soup|1992|96|Comedy,Drama|aspiring young filmmaker get involved eccentric gangster financing first film|10/23/92|comedy getting head|7.1|3981
tt0104691|movie|The Last of the Mohicans|1992|112|Action,Adventure,Drama|english french soldier battle control american colony 18th century settler native american forced take side cora sister alice unwittingly walk trouble reluctantly saved hawkeye orphaned settler adopted last mohican|9/25/92|first american hero|7.7|171199
tt0104804|movie|Man Trouble|1992|100|Comedy,Romance|sleazy affable guard dog trainer blackmailed steal manuscript tell book one client|7/17/92|plan steal heart|4.7|3279
tt0105046|movie|Of Mice and Men|1992|115|Drama,Western|two drifter one gentle slow giant try make money working field depression fulfill dream|9/16/92|dream someday little house couple acre place call home|7.5|44200
tt0105112|movie|Patriot Games|1992|117|Action,Thriller|cia analyst jack ryan interferes ira assassination renegade faction target jack family revenge|6/4/92|honor country wife child|6.8|113131
tt0105217|movie|Raising Cain|1992|92|Crime,Drama,Horror|neighborhood kid begin vanishing jenny suspect child psychologist husband carter may resuming deranged experiment father performed carter young fall jenny unravel mystery child disappear fear child safety|8/7/92|demented deranged deceptive de palma|6.0|16324
tt0105459|movie|Split Second|1992|90|Action,Crime,Horror|futuristic london rising sea level mean large area foot water hauer play cop previously lost partner strange creature creature back|5/1/92|seen future kill|6.0|15239
tt0105488|movie|Strictly Ballroom|1992|94|Comedy,Drama,Music|brave new step put scott career jeopardy new partner determination still succeed|8/20/92|life lived fear life half lived|7.2|27945
tt0105652|movie|Pushing Hands|1991|105|Comedy,Drama|story elderly chinese tai chi chuan teacher grandfather emigrates beijing live son american daughter law grandson new york city suburb grandfather increasingly distanced family fish water western culture|2/1/92||7.2|4381
tt0105665|movie|Twin Peaks: Fire Walk with Me|1992|134|Drama,Horror,Mystery|questionable town deer meadow washington fbi agent desmond inexplicably disappears hunting man murdered teen girl killer never apprehended experiencing dark vision supernatural encounter agent dale cooper chillingly predicts culprit claim another life meanwhile cozy town twin peak hedonistic beauty laura palmer hang lowlife seems destined grisly fate|6/3/92|meet laura palmer town nothing seems everyone something hide|7.2|97720
tt0105691|movie|Under Suspicion|1991|99|Crime,Drama,Thriller|late 1950s british police officer tony aaron resigns force sleeping hazel wife man whose house supposed guard new job fake private investigator help couple get divorce photographing hazel affair husband murdered job tony begin affair dead man mistress angeline trying prove innocence|9/27/91|close get killer close|6.4|4443
tt0106220|movie|Addams Family Values|1993|94|Comedy,Fantasy|sibling wednesday pugsley addams stop nothing get rid pubert new baby boy adored parent gomez morticia thing go bad worse new black widow nanny debbie jellinsky launch plan add fester collection dead husband|11/19/93|family got little stranger|6.8|95326
tt0106387|movie|Benny & Joon|1993|98|Comedy,Drama,Romance|mentally ill young woman find love eccentric man model buster keaton|4/16/93|romance brink reality|7.1|59061
tt0106447|movie|Bodies, Rest & Motion|1993|95|Drama|rebelling dreary life small arizona town salesman nick abandon girlfriend beth strike onto highway search something else encouraged best friend carol beth reluctantly accepts romantic attention sid local housepainter|1/10/93|nick leaving beth staying carol waiting sid painting|5.7|2397
tt0106452|movie|Body Snatchers|1993|87|Horror,Sci-Fi|environmental protection agency inspector steve malone travel remote military base order check toxic material brings family along ride arriving base teenage daughter marti befriends jean platt daughter base commander general platt people base begin acting strangely marti becomes convinced slowly replaced plant like alien|6/9/93|imagine gone someone else living inside body|6.0|19864
tt0106464|movie|Bopha!|1993|120|Drama|story black policeman south african apartheid danny glover play cop belief trying help people even serving pawn racist government son get involved anti apartheid movement find torn family including long suffering wife alfre woodard belief duty|9/16/93||6.5|973
tt0106582|movie|Cliffhanger|1993|113|Action,Adventure,Thriller|year losing friend tragic 4 000 foot fall former ranger gabe walker partner hal called return peak rescue group stranded climber learn climber actually thieving hijacker looking box full money|5/28/93|height adventure|6.5|131004
tt0106627|movie|The Crush|1993|89|Drama,Thriller|precocious obsessive teenager develops crush naive writer harrowing consequence|4/2/93|thought crush dead wrong|5.8|20622
tt0106761|movie|Double Dragon|1994|96|Action,Adventure,Comedy|set 15 year future post earthquake california san diego los angeles merged one city two teenage brother half powerful ancient chinese talisman evil gang leader named bo abobo half determines get brother half complete medallion gain absolute power magical double dragon medallion|11/4/94|power justice darkness light|3.8|13489
tt0106877|movie|Father Hood|1993|95|Adventure,Comedy,Crime|deadbeat dad kidnaps kid bus abusive foster home go run cop bicker constantly idea way grim yet dangerous ride might turn family|8/27/93|america wanted dad|4.9|3250
tt0107144|movie|Hot Shots! Part Deux|1993|86|Action,Comedy|topper harley found working odd job man monastery cia want lead rescue mission iraq rescue last rescue team went rescue last rescue team went rescue hostage left behind desert storm|5/21/93|deux|6.6|91867
tt0107426|movie|Little Buddha|1993|123|Drama|little buddha movie life siddhartha starring keanu reef bridget fonda directed bernardo bertolucci|12/1/93|magical journey place past present meet|6.1|17064
tt0107468|movie|M. Butterfly|1993|101|Drama,Romance|1960s china french diplomat rene gallimard fall love opera singer song liling song gallimard think|9/9/93||6.7|10216
tt0107472|movie|The Wonderful, Horrible Life of Leni Riefenstahl|1993|183|Biography,Documentary,History|documentary recount life work one famous yet reviled german film director history leni riefenstahl film recount rise career dancer movie actor important film director nazi germany directed famous propaganda film triumph olympiad film also explores later activity nazi germany defeat 1945 disgrace associated includes amazingly active life age 90|9/11/93||8.1|2962
tt0107685|movie|The Night We Never Met|1993|99|Comedy,Romance|sam problem roommate disgusting seem share view responsibility privacy basic hygine discomfort living arrangement agrees share occupancy another flat get two night week owner sleazy frat boy yuppie named brian soon married ellen would painter seeking relief boring marriage get seperate night flat thing go extremely well sam brian swap night without telling ellen attribute nice thing happen around place slob brian berating responsible sam hedonistic lifestyle|4/30/93||6.0|2918
tt0107750|movie|Only the Strong|1993|99|Action,Drama|former green beret louis stevens return hometown miami completing military service brazil learn old high school become gang drug dealer stevens us capoeira skill kick several drug dealer school property kerrigan one stevens old teacher see impact stevens student kerrigan give task teaching capoeira handful worst risk student school|8/27/93|ultimate martial art|6.5|6371
tt0108171|movie|Sniper|1993|98|Action,Thriller,War|tough guy thomas beckett u soldier working panamanian jungle job seek rebel remove using sniper skill beckett notorious losing partner mission time accompanied crack marksman richard miller|1/29/93|one shot one kill exception|6.1|24493
tt0109098|movie|American Cyborg: Steel Warrior|1993|94|Action,Sci-Fi|nuclear war people sterile ruled artifical intelligence created violent world woman able give life child take child dangerous city ship save followed immortal killer robot danger one guy try help survive protect killing machine|1/7/94||4.2|1514
